Season,Week,HomeTeam,AwayTeam,TeamWithPossession,total_plays,pass_yards,rush_yards,total_yards,points,incompletions,interceptions,fumbles,touchdowns,field_goals,safeties,drives,yards_per_play,points_per_possession,turnovers,scoring_efficiency,Opponent,game_id,points_allowed,game_total,pass_yards_last3,rush_yards_last3,total_yards_last3,yards_per_play_last3,points_per_possession_last3,turnovers_last3,scoring_efficiency_last3,points_last3,points_allowed_last3,pass_yards_season_avg,rush_yards_season_avg,total_yards_season_avg,yards_per_play_season_avg,points_per_possession_season_avg,turnovers_season_avg,scoring_efficiency_season_avg,points_season_avg,points_allowed_season_avg
2025,1,NO,ARI,ARI,79,0,0,-33,18,11,0,0,2,2,0,14,-0.4177215189873418,1.2857142857142858,0,0.14285714285714285,NO,2025_W1_ARI_NO,18,36,,,,,,,,,,,,,,,,,,
2025,2,ARI,CAR,ARI,63,0,0,-9,18,9,1,0,2,2,0,12,-0.14285714285714285,1.5,1,0.16666666666666666,CAR,2025_W2_ARI_CAR,27,45,0.0,0.0,-33.0,-0.4177215189873418,1.2857142857142858,0.0,0.14285714285714285,18.0,18.0,0.0,0.0,-33.0,-0.4177215189873418,1.2857142857142858,0.0,0.14285714285714285,18.0,18.0
2025,3,SF,ARI,ARI,82,0,0,-5,15,14,0,1,1,3,0,14,-0.06097560975609756,1.0714285714285714,1,0.07142857142857142,SF,2025_W3_ARI_SF,17,32,0.0,0.0,-21.0,-0.2802893309222423,1.3928571428571428,0.5,0.15476190476190477,18.0,22.5,0.0,0.0,-21.0,-0.2802893309222423,1.3928571428571428,0.5,0.15476190476190477,18.0,22.5
2025,4,ARI,SEA,ARI,76,0,0,-29,18,12,2,0,2,2,0,15,-0.3815789473684211,1.2,2,0.13333333333333333,SEA,2025_W4_ARI_SEA,30,48,0.0,0.0,-15.666666666666666,-0.20718475720019405,1.2857142857142858,0.6666666666666666,0.12698412698412698,17.0,20.666666666666668,0.0,0.0,-15.666666666666666,-0.20718475720019405,1.2857142857142858,0.6666666666666666,0.12698412698412698,17.0,20.666666666666668
2025,1,ATL,TB,ATL,89,0,0,-23,21,17,0,1,2,3,0,15,-0.25842696629213485,1.4,1,0.13333333333333333,TB,2025_W1_ATL_TB,24,45,,,,,,,,,,,,,,,,,,
2025,2,MIN,ATL,ATL,80,0,0,-27,21,8,0,1,1,5,0,16,-0.3375,1.3125,1,0.0625,MIN,2025_W2_ATL_MIN,6,27,0.0,0.0,-23.0,-0.25842696629213485,1.4,1.0,0.13333333333333333,21.0,24.0,0.0,0.0,-23.0,-0.25842696629213485,1.4,1.0,0.13333333333333333,21.0,24.0
2025,3,CAR,ATL,ATL,79,0,0,0,12,18,1,1,1,2,0,12,0.0,1.0,2,0.08333333333333333,CAR,2025_W3_ATL_CAR,21,33,0.0,0.0,-25.0,-0.29796348314606746,1.35625,1.0,0.09791666666666667,21.0,15.0,0.0,0.0,-25.0,-0.29796348314606746,1.35625,1.0,0.09791666666666667,21.0,15.0
2025,4,ATL,WSH,ATL,79,0,0,-6,30,6,1,2,4,2,0,16,-0.0759493670886076,1.875,3,0.25,WSH,2025_W4_ATL_WSH,24,54,0.0,0.0,-16.666666666666668,-0.1986423220973783,1.2375,1.3333333333333333,0.09305555555555556,18.0,17.0,0.0,0.0,-16.666666666666668,-0.1986423220973783,1.2375,1.3333333333333333,0.09305555555555556,18.0,17.0
2025,1,BUF,BAL,BAL,65,0,0,-16,36,5,0,2,5,2,0,18,-0.24615384615384617,2.0,2,0.2777777777777778,BUF,2025_W1_BAL_BUF,40,76,,,,,,,,,,,,,,,,,,
2025,2,BAL,CLE,BAL,70,0,0,-28,36,12,0,1,5,2,0,18,-0.4,2.0,1,0.2777777777777778,CLE,2025_W2_BAL_CLE,15,51,0.0,0.0,-16.0,-0.24615384615384617,2.0,2.0,0.2777777777777778,36.0,40.0,0.0,0.0,-16.0,-0.24615384615384617,2.0,2.0,0.2777777777777778,36.0,40.0
2025,3,BAL,DET,BAL,70,0,0,-37,27,9,0,2,4,1,0,15,-0.5285714285714286,1.8,2,0.26666666666666666,DET,2025_W3_BAL_DET,36,63,0.0,0.0,-22.0,-0.3230769230769231,2.0,1.5,0.2777777777777778,36.0,27.5,0.0,0.0,-22.0,-0.3230769230769231,2.0,1.5,0.2777777777777778,36.0,27.5
2025,4,KC,BAL,BAL,68,0,0,-5,18,9,1,1,2,2,0,14,-0.07352941176470588,1.2857142857142858,2,0.14285714285714285,KC,2025_W4_BAL_KC,36,54,0.0,0.0,-27.0,-0.39157509157509157,1.9333333333333333,1.6666666666666667,0.2740740740740741,33.0,30.333333333333332,0.0,0.0,-27.0,-0.39157509157509157,1.9333333333333333,1.6666666666666667,0.2740740740740741,33.0,30.333333333333332
2025,1,BUF,BAL,BUF,100,0,0,-5,40,14,0,1,5,3,0,20,-0.05,2.0,1,0.25,BAL,2025_W1_BAL_BUF,36,76,,,,,,,,,,,,,,,,,,
2025,2,NYJ,BUF,BUF,84,0,0,-1,27,14,0,1,3,3,0,16,-0.011904761904761904,1.6875,1,0.1875,NYJ,2025_W2_BUF_NYJ,9,36,0.0,0.0,-5.0,-0.05,2.0,1.0,0.25,40.0,36.0,0.0,0.0,-5.0,-0.05,2.0,1.0,0.25,40.0,36.0
2025,3,BUF,MIA,BUF,69,0,0,-10,30,8,0,1,4,2,0,14,-0.14492753623188406,2.142857142857143,1,0.2857142857142857,MIA,2025_W3_BUF_MIA,18,48,0.0,0.0,-3.0,-0.030952380952380953,1.84375,1.0,0.21875,33.5,22.5,0.0,0.0,-3.0,-0.030952380952380953,1.84375,1.0,0.21875,33.5,22.5
2025,4,BUF,NO,BUF,71,0,0,-18,27,5,1,0,4,1,0,16,-0.2535211267605634,1.6875,1,0.25,NO,2025_W4_BUF_NO,24,51,0.0,0.0,-5.333333333333333,-0.06894409937888199,1.9434523809523807,1.0,0.24107142857142858,32.333333333333336,21.0,0.0,0.0,-5.333333333333333,-0.06894409937888199,1.9434523809523807,1.0,0.24107142857142858,32.333333333333336,21.0
